Symptom,cate
"What are the symptoms of Pancreatic cancer, childhood ?","Pancreatic cancer, childhood"
What are the symptoms of Tetramelic monodactyly ?,Tetramelic monodactyly
What are the symptoms of Progressive deafness with stapes fixation ?,Progressive deafness with stapes fixation
What are the symptoms of Urinary Tract Infections ?,Urinary Tract Infections
What are the symptoms of Trisomy 18 ?,Trisomy 18
What are the symptoms of Weyers acrofacial dysostosis ?,Weyers acrofacial dysostosis
What are the symptoms of Cataract Hutterite type ?,Cataract Hutterite type
What are the symptoms of Surviving Cancer ?,Surviving Cancer
What are the symptoms of Alpha-1 antitrypsin deficiency ?,Alpha-1 antitrypsin deficiency
What are the symptoms of Scleroderma ?,Scleroderma
What are the symptoms of Peters plus syndrome ?,Peters plus syndrome
What are the symptoms of Facio thoraco genital syndrome ?,Facio thoraco genital syndrome
What are the symptoms of Idiopathic CD4 positive T-lymphocytopenia ?,Idiopathic CD4 positive T-lymphocytopenia
"What are the symptoms of Pheochromocytoma, childhood ?","Pheochromocytoma, childhood"
What are the symptoms of Branchial arch syndrome X-linked ?,Branchial arch syndrome X-linked
What are the symptoms of Pontocerebellar hypoplasia type 6 ?,Pontocerebellar hypoplasia type 6
What are the symptoms of Alagille Syndrome ?,Alagille Syndrome
What are the symptoms of Intrahepatic cholestasis of pregnancy ?,Intrahepatic cholestasis of pregnancy
What are the symptoms of Osteomesopyknosis ?,Osteomesopyknosis
What are the symptoms of Warfarin syndrome ?,Warfarin syndrome
What are the symptoms of Lipidosis with triglycerid storage disease ?,Lipidosis with triglycerid storage disease
What are the symptoms of Colon Cancer ?,Colon Cancer
What are the symptoms of Kniest like dysplasia lethal ?,Kniest like dysplasia lethal
"What are the symptoms of Frontotemporal dementia, ubiquitin-positive ?","Frontotemporal dementia, ubiquitin-positive"
What are the symptoms of Charcot-Marie-Tooth disease type 2B2 ?,Charcot-Marie-Tooth disease type 2B2
What are the symptoms of Annular pancreas ?,Annular pancreas
What are the symptoms of Wilson disease ?,Wilson disease
What are the symptoms of Marshall-Smith syndrome ?,Marshall-Smith syndrome
What are the symptoms of Chronic progressive external ophthalmoplegia ?,Chronic progressive external ophthalmoplegia
"What are the symptoms of Ehlers-Danlos syndrome, periodontitis type ?","Ehlers-Danlos syndrome, periodontitis type"
What are the symptoms of Chudley Rozdilsky syndrome ?,Chudley Rozdilsky syndrome
What are the symptoms of Megalocytic interstitial nephritis ?,Megalocytic interstitial nephritis
What are the symptoms of Antecubital pterygium ?,Antecubital pterygium
What are the symptoms of Langer mesomelic dysplasia ?,Langer mesomelic dysplasia
What are the symptoms of Pseudoainhum ?,Pseudoainhum
What are the symptoms of Multiple pterygium syndrome X-linked ?,Multiple pterygium syndrome X-linked
What are the symptoms of Chondrosarcoma ?,Chondrosarcoma
What are the symptoms of Cataract-microcephaly-failure to thrive-kyphoscoliosis ?,Cataract-microcephaly-failure to thrive-kyphoscoliosis
What are the symptoms of L-2-hydroxyglutaric aciduria ?,L-2-hydroxyglutaric aciduria
What are the symptoms of Pyridoxine-dependent epilepsy ?,Pyridoxine-dependent epilepsy
What are the symptoms of Lopes Gorlin syndrome ?,Lopes Gorlin syndrome
What are the symptoms of Lymphocytic infiltrate of Jessner ?,Lymphocytic infiltrate of Jessner
What are the symptoms of Uterine Sarcoma ?,Uterine Sarcoma
What are the symptoms of Tranebjaerg Svejgaard syndrome ?,Tranebjaerg Svejgaard syndrome
What are the symptoms of Sener syndrome ?,Sener syndrome
What are the symptoms of Focal palmoplantar and gingival keratoderma ?,Focal palmoplantar and gingival keratoderma
What are the symptoms of Androgen insensitivity syndrome ?,Androgen insensitivity syndrome
What are the symptoms of Acromesomelic dysplasia ?,Acromesomelic dysplasia
What are the symptoms of Hereditary congenital facial paresis ?,Hereditary congenital facial paresis
What are the symptoms of Cleidocranial dysplasia ?,Cleidocranial dysplasia
What are the symptoms of Pillay syndrome ?,Pillay syndrome
What are the symptoms of Diffuse gastric cancer ?,Diffuse gastric cancer
What are the symptoms of Cerebral gigantism jaw cysts ?,Cerebral gigantism jaw cysts
What are the symptoms of Hereditary multiple osteochondromas ?,Hereditary multiple osteochondromas
What are the symptoms of Tetraploidy ?,Tetraploidy
What are the symptoms of Cushing's syndrome ?,Cushing's syndrome
What are the symptoms of Mosaic trisomy 9 ?,Mosaic trisomy 9
What are the symptoms of Spondylocostal dysostosis 3 ?,Spondylocostal dysostosis 3
What are the symptoms of 47 XXX syndrome ?,47 XXX syndrome
What are the symptoms of Keratoderma palmoplantar deafness ?,Keratoderma palmoplantar deafness
What are the symptoms of Bardet-Biedl syndrome 10 ?,Bardet-Biedl syndrome 10
What are the symptoms of Paris-Trousseau thrombocytopenia ?,Paris-Trousseau thrombocytopenia
What are the symptoms of Nodular regenerative hyperplasia ?,Nodular regenerative hyperplasia
What are the symptoms of Galactose epimerase deficiency ?,Galactose epimerase deficiency
What are the symptoms of Adult Primary Liver Cancer ?,Adult Primary Liver Cancer
What are the symptoms of Blepharoptosis myopia ectopia lentis ?,Blepharoptosis myopia ectopia lentis
What are the symptoms of Griscelli syndrome ?,Griscelli syndrome
What are the symptoms of Spastic paraplegia 10 ?,Spastic paraplegia 10
What are the symptoms of Erythromelalgia ?,Erythromelalgia
What are the symptoms of Charcot-Marie-Tooth disease type 1E ?,Charcot-Marie-Tooth disease type 1E
What are the symptoms of Trismus-pseudocamptodactyly syndrome ?,Trismus-pseudocamptodactyly syndrome
"What are the symptoms of Severe combined immunodeficiency, atypical ?","Severe combined immunodeficiency, atypical"
What are the symptoms of Tylosis with esophageal cancer ?,Tylosis with esophageal cancer
What are the symptoms of Adult-onset vitelliform macular dystrophy ?,Adult-onset vitelliform macular dystrophy
"What are the symptoms of Epidermolysis bullosa, lethal acantholytic ?","Epidermolysis bullosa, lethal acantholytic"
What are the symptoms of Tetra-amelia syndrome ?,Tetra-amelia syndrome
What are the symptoms of Bardet-Biedl syndrome 5 ?,Bardet-Biedl syndrome 5
What are the symptoms of Multiple epiphyseal dysplasia 1 ?,Multiple epiphyseal dysplasia 1
What are the symptoms of Dyskeratosis congenita autosomal dominant ?,Dyskeratosis congenita autosomal dominant
What are the symptoms of Sarcoidosis ?,Sarcoidosis
What are the symptoms of Neutropenia chronic familial ?,Neutropenia chronic familial
What are the symptoms of Pallister W syndrome ?,Pallister W syndrome
"What are the symptoms of Ichthyosiform erythroderma, corneal involvement, deafness ?","Ichthyosiform erythroderma, corneal involvement, deafness"
What are the symptoms of Severe congenital neutropenia X-linked ?,Severe congenital neutropenia X-linked
What are the symptoms of Chudley-Mccullough syndrome ?,Chudley-Mccullough syndrome
What are the symptoms of Popliteal pterygium syndrome lethal type ?,Popliteal pterygium syndrome lethal type
What are the symptoms of What I need to know about Interstitial Cystitis/Painful Bladder Syndrome ?,What I need to know about Interstitial Cystitis/Painful Bladder Syndrome
What are the symptoms of Lucey-Driscoll syndrome ?,Lucey-Driscoll syndrome
What are the symptoms of Familial dilated cardiomyopathy ?,Familial dilated cardiomyopathy
What are the symptoms of What I need to know about Hepatitis C ?,What I need to know about Hepatitis C
What are the symptoms of Sickle Cell Disease ?,Sickle Cell Disease
What are the symptoms of Amyotonia congenita ?,Amyotonia congenita
What are the symptoms of Lenz Majewski hyperostotic dwarfism ?,Lenz Majewski hyperostotic dwarfism
"What are the symptoms of Macular dystrophy, atypical vitelliform ?","Macular dystrophy, atypical vitelliform"
What are the symptoms of Frontometaphyseal dysplasia ?,Frontometaphyseal dysplasia
What are the symptoms of Bile Duct Cancer (Cholangiocarcinoma) ?,Bile Duct Cancer (Cholangiocarcinoma)
What are the symptoms of Weaver syndrome ?,Weaver syndrome
What are the symptoms of Limb deficiencies distal with micrognathia ?,Limb deficiencies distal with micrognathia
What are the symptoms of Syngnathia multiple anomalies ?,Syngnathia multiple anomalies
What are the symptoms of Viljoen Kallis Voges syndrome ?,Viljoen Kallis Voges syndrome
What are the symptoms of Cutaneous mastocytosis ?,Cutaneous mastocytosis
What are the symptoms of Carnosinemia ?,Carnosinemia
What are the symptoms of Unverricht-Lundborg disease ?,Unverricht-Lundborg disease
What are the symptoms of Leukoencephalopathy with vanishing white matter ?,Leukoencephalopathy with vanishing white matter
What are the symptoms of Fibrodysplasia ossificans progressiva ?,Fibrodysplasia ossificans progressiva
What are the symptoms of HTLV-1 associated myelopathy/tropical spastic paraparesis ?,HTLV-1 associated myelopathy/tropical spastic paraparesis
"What are the symptoms of Familial erythrocytosis, 1 ?","Familial erythrocytosis, 1"
What are the symptoms of Townes-Brocks syndrome ?,Townes-Brocks syndrome
What are the symptoms of Uropathy distal obstructive polydactyly ?,Uropathy distal obstructive polydactyly
What are the symptoms of Pseudodiastrophic dysplasia ?,Pseudodiastrophic dysplasia
What are the symptoms of Chiari malformation ?,Chiari malformation
"What are the symptoms of Epidermolysis bullosa, late-onset localized junctional, with mental retardation ?","Epidermolysis bullosa, late-onset localized junctional, with mental retardation"
What are the symptoms of Acrofacial dysostosis Catania type ?,Acrofacial dysostosis Catania type
What are the symptoms of Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency ?,Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency
What are the symptoms of Polycythemia vera ?,Polycythemia vera
"What are the symptoms of Cardiac valvular dysplasia, X-linked ?","Cardiac valvular dysplasia, X-linked"
"What are the symptoms of Lipodystrophy, familial partial, type 2 ?","Lipodystrophy, familial partial, type 2"
What are the symptoms of Alzheimer's Disease ?,Alzheimer's Disease
What are the symptoms of Lowry Wood syndrome ?,Lowry Wood syndrome
What are the symptoms of Cardiomyopathy dilated with woolly hair and keratoderma ?,Cardiomyopathy dilated with woolly hair and keratoderma
What are the symptoms of Trigger thumb ?,Trigger thumb
What are the symptoms of Congenital pulmonary alveolar proteinosis ?,Congenital pulmonary alveolar proteinosis
What are the symptoms of Hoyeraal Hreidarsson syndrome ?,Hoyeraal Hreidarsson syndrome
What are the symptoms of Leri Weill dyschondrosteosis ?,Leri Weill dyschondrosteosis
"What are the symptoms of Short stature syndrome, Brussels type ?","Short stature syndrome, Brussels type"
What are the symptoms of Hyperprolinemia type 2 ?,Hyperprolinemia type 2
What are the symptoms of Bietti crystalline corneoretinal dystrophy ?,Bietti crystalline corneoretinal dystrophy
What are the symptoms of Hepatic venoocclusive disease with immunodeficiency ?,Hepatic venoocclusive disease with immunodeficiency
What are the symptoms of Xeroderma pigmentosum type 7 ?,Xeroderma pigmentosum type 7
What are the symptoms of Milroy disease ?,Milroy disease
"What are the symptoms of Dwarfism, proportionate with hip dislocation ?","Dwarfism, proportionate with hip dislocation"
What are the symptoms of Hairy nose tip ?,Hairy nose tip
What are the symptoms of COACH syndrome ?,COACH syndrome
What are the symptoms of Geleophysic dwarfism ?,Geleophysic dwarfism
What are the symptoms of X-linked lymphoproliferative syndrome 1 ?,X-linked lymphoproliferative syndrome 1
What are the symptoms of Opsismodysplasia ?,Opsismodysplasia
"What are the symptoms of Tremors, nystagmus and duodenal ulcers ?","Tremors, nystagmus and duodenal ulcers"
What are the symptoms of Jejunal atresia ?,Jejunal atresia
What are the symptoms of Osteoporosis oculocutaneous hypopigmentation syndrome ?,Osteoporosis oculocutaneous hypopigmentation syndrome
"What are the symptoms of Epilepsy, benign occipital ?","Epilepsy, benign occipital"
What are the symptoms of Northern epilepsy ?,Northern epilepsy
What are the symptoms of Pilodental dysplasia with refractive errors ?,Pilodental dysplasia with refractive errors
What are the symptoms of Glomerulopathy with fibronectin deposits 2 ?,Glomerulopathy with fibronectin deposits 2
What are the symptoms of Hypomagnesemia 6 ?,Hypomagnesemia 6
What are the symptoms of Gastrocutaneous syndrome ?,Gastrocutaneous syndrome
What are the symptoms of Citrullinemia type I ?,Citrullinemia type I
"What are the symptoms of Tremor hereditary essential, 2 ?","Tremor hereditary essential, 2"
"What are the symptoms of Vestibulocochlear dysfunction, progressive ?","Vestibulocochlear dysfunction, progressive"
What are the symptoms of Perry syndrome ?,Perry syndrome
What are the symptoms of Non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency ?,Non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
"What are the symptoms of Thrombotic thrombocytopenic purpura, congenital ?","Thrombotic thrombocytopenic purpura, congenital"
What are the symptoms of Medium-chain 3-ketoacyl-coa thiolase deficiency ?,Medium-chain 3-ketoacyl-coa thiolase deficiency
What are the symptoms of Bronchitis ?,Bronchitis
What are the symptoms of Medium-chain acyl-coenzyme A dehydrogenase deficiency ?,Medium-chain acyl-coenzyme A dehydrogenase deficiency
What are the symptoms of Glycogen storage disease type 13 ?,Glycogen storage disease type 13
What are the symptoms of Orofaciodigital syndrome 11 ?,Orofaciodigital syndrome 11
"What are the symptoms of Cervical ribs, Sprengel anomaly, anal atresia, and urethral obstruction ?","Cervical ribs, Sprengel anomaly, anal atresia, and urethral obstruction"
What are the symptoms of Autoimmune hemolytic anemia ?,Autoimmune hemolytic anemia
What are the symptoms of Ectodermal dysplasia skin fragility syndrome ?,Ectodermal dysplasia skin fragility syndrome
What are the symptoms of Desmoid tumor ?,Desmoid tumor
What are the symptoms of VLCAD deficiency ?,VLCAD deficiency
What are the symptoms of Naegeli syndrome ?,Naegeli syndrome
What are the symptoms of Hashimoto's syndrome ?,Hashimoto's syndrome
What are the symptoms of Primary orthostatic tremor ?,Primary orthostatic tremor
What are the symptoms of Bell's palsy ?,Bell's palsy
What are the symptoms of Ataxia with Oculomotor Apraxia Type 2 ?,Ataxia with Oculomotor Apraxia Type 2
What are the symptoms of Macrothrombocytopenia progressive deafness ?,Macrothrombocytopenia progressive deafness
What are the symptoms of X-linked agammaglobulinemia ?,X-linked agammaglobulinemia
What are the symptoms of Sakati syndrome ?,Sakati syndrome
What are the symptoms of Ulnar-mammary syndrome ?,Ulnar-mammary syndrome
What are the symptoms of Restless Legs Syndrome ?,Restless Legs Syndrome
What are the symptoms of Familial atrial fibrillation ?,Familial atrial fibrillation
What are the symptoms of Mantle cell lymphoma ?,Mantle cell lymphoma
What are the symptoms of Autosomal recessive spastic ataxia 4 ?,Autosomal recessive spastic ataxia 4
What are the symptoms of Lissencephaly X-linked ?,Lissencephaly X-linked
What are the symptoms of Rheumatic Fever ?,Rheumatic Fever
What are the symptoms of Barber Say syndrome ?,Barber Say syndrome
What are the symptoms of Osteogenesis imperfecta type VI ?,Osteogenesis imperfecta type VI
What are the symptoms of Zunich neuroectodermal syndrome ?,Zunich neuroectodermal syndrome
"What are the symptoms of Ectodermal dysplasia, hidrotic, Christianson-Fourie type ?","Ectodermal dysplasia, hidrotic, Christianson-Fourie type"
What are the symptoms of CLOVES syndrome ?,CLOVES syndrome
What are the symptoms of Spinocerebellar ataxia 10 ?,Spinocerebellar ataxia 10
What are the symptoms of Narcolepsy ?,Narcolepsy
What are the symptoms of Bardet-Biedl syndrome 2 ?,Bardet-Biedl syndrome 2
What are the symptoms of Coccygodynia ?,Coccygodynia
What are the symptoms of Fibromuscular dysplasia ?,Fibromuscular dysplasia
What are the symptoms of What I need to know about Gas ?,What I need to know about Gas
What are the symptoms of Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy ?,Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy
What are the symptoms of Spondylometaphyseal dysplasia with dentinogenesis imperfecta ?,Spondylometaphyseal dysplasia with dentinogenesis imperfecta
What are the symptoms of Hawkinsinuria ?,Hawkinsinuria
What are the symptoms of Lichen planus pigmentosus ?,Lichen planus pigmentosus
What are the symptoms of Steatocystoma multiplex ?,Steatocystoma multiplex
What are the symptoms of Spastic paraplegia 2 ?,Spastic paraplegia 2
What are the symptoms of Familial hemiplegic migraine ?,Familial hemiplegic migraine
What are the symptoms of Campomelia Cumming type ?,Campomelia Cumming type
What are the symptoms of Sjogren-Larsson-like syndrome ?,Sjogren-Larsson-like syndrome
What are the symptoms of Congenital varicella syndrome ?,Congenital varicella syndrome
What are the symptoms of Nijmegen breakage syndrome ?,Nijmegen breakage syndrome
What are the symptoms of Atrial septal defect ostium primum ?,Atrial septal defect ostium primum
What are the symptoms of Charcot-Marie-Tooth disease type 2N ?,Charcot-Marie-Tooth disease type 2N
What are the symptoms of Anencephaly and spina bifida X-linked ?,Anencephaly and spina bifida X-linked
What are the symptoms of Infantile Parkinsonism-dystonia ?,Infantile Parkinsonism-dystonia
"What are the symptoms of Ossicular Malformations, familial ?","Ossicular Malformations, familial"
What are the symptoms of Adult Non-Hodgkin Lymphoma ?,Adult Non-Hodgkin Lymphoma
What are the symptoms of Abdominal aortic aneurysm ?,Abdominal aortic aneurysm
What are the symptoms of Giant congenital nevus ?,Giant congenital nevus
What are the symptoms of Duchenne muscular dystrophy ?,Duchenne muscular dystrophy
What are the symptoms of Idiopathic thrombocytopenic purpura ?,Idiopathic thrombocytopenic purpura
What are the symptoms of Noonan syndrome 1 ?,Noonan syndrome 1
"What are the symptoms of Paralysis agitans, juvenile, of Hunt ?","Paralysis agitans, juvenile, of Hunt"
What are the symptoms of Congenital adrenal hyperplasia ?,Congenital adrenal hyperplasia
What are the symptoms of Growth hormone insensitivity with immunodeficiency ?,Growth hormone insensitivity with immunodeficiency
What are the symptoms of Pyruvate dehydrogenase deficiency ?,Pyruvate dehydrogenase deficiency
"What are the symptoms of Larynx, congenital partial atresia of ?","Larynx, congenital partial atresia of"
What are the symptoms of Limb-girdle muscular dystrophy type 2A ?,Limb-girdle muscular dystrophy type 2A
What are the symptoms of Jervell and Lange-Nielsen syndrome 2 ?,Jervell and Lange-Nielsen syndrome 2
What are the symptoms of Spondylometaphyseal dysplasia corner fracture type ?,Spondylometaphyseal dysplasia corner fracture type
What are the symptoms of Holzgreve syndrome ?,Holzgreve syndrome
"What are the symptoms of Hypocalcemia, autosomal dominant ?","Hypocalcemia, autosomal dominant"
"What are the symptoms of 46,XX testicular disorder of sex development ?","46,XX testicular disorder of sex development"
What are the symptoms of Goodpasture Syndrome ?,Goodpasture Syndrome
"What are the symptoms of Hepatocellular carcinoma, childhood ?","Hepatocellular carcinoma, childhood"
"What are the symptoms of Maturity-onset diabetes of the young, type 3 ?","Maturity-onset diabetes of the young, type 3"
What are the symptoms of Hendra Virus Disease (HeV) ?,Hendra Virus Disease (HeV)
What are the symptoms of Ramos Arroyo Clark syndrome ?,Ramos Arroyo Clark syndrome
What are the symptoms of Desmoplastic infantile ganglioglioma ?,Desmoplastic infantile ganglioglioma
What are the symptoms of Yorifuji Okuno syndrome ?,Yorifuji Okuno syndrome
What are the symptoms of HurlerScheie syndrome ?,HurlerScheie syndrome
